"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Southern","SM6","1992-06-17","1","Surface Water","2.8","0.044","14","118","7.9","7","9","0.239","0.027","0.025","8.1","2.9","24","1.5","1.85","3.5","27.1","0.31","0.65","0.92","0.04","3.8","0.003","2"
"Southern","SM6","1992-06-17","1","Middle Water","1.9","0.022","28","90","6.2","7","8","0.151","0.028","0.018","7.9","<0.2","29.9","1.5","1.19","2.5","25.9","0.2","0.55","0.73","0.04","3.1","0.001","0.5"
"Southern","SM6","1992-06-17","1","Bottom Water","1.7","0.01","7.5","71","4.9","2","2","0.022","<0.002","0.003","8","1.1","33.4","1.5","0.3","3","25.5","0.03","0.41","0.43","0.04","2.2","0.001","1.5"
"Southern","SM6","1992-08-06","1","Surface Water","2.6","0.155","1.6","101","6.6","11","13","0.168","0.021","0.021","8","7.4","25","2.1","3.08","3","27.3","0.34","0.6","0.79","0.13","3","0.008","1"
"Southern","SM6","1992-08-06","1","Middle Water","2","0.116","0.5","40","2.8","3","5","0.101","0.022","0.026","7.9","2.8","33.3","2.1","2.08","3","24.5","0.24","0.55","0.67","0.15","2.7","0.004","1"
"Southern","SM6","1992-08-06","1","Bottom Water","1","0.031","0.5","38","2.7","1","1","0.098","0.054","0.034","7.7","0.2","33.4","2.1","1.32","4.5","24.5","0.18","0.65","0.8","0.18","3.8","0.001","1"
"Southern","SM6","1992-10-30","1","Surface Water","0.8","<0.005","0.5","96","6.7","1","1","0.086","0.027","0.03","7.9","0.8","33.2","2","1.27","8","24.4","0.12","0.46","0.57","0.07","4.8","0.001","3"
"Southern","SM6","1992-10-30","1","Middle Water","0.6","<0.005","0.7","102","7.1","1","1","0.082","0.022","0.038","7.9","0.6","33.2","2","1.42","3","24.2","0.11","0.58","0.68","0.07","5.1","0.001","<0.5"
"Southern","SM6","1992-10-30","1","Bottom Water","0.4","<0.005","0.3","105","7.3","1","1","0.097","0.022","0.038","7.9","1.1","33.1","2","1.16","12","24.1","0.12","0.58","0.7","0.05","5.4","0.001","5.5"
"Southern","SM6","1992-12-09","1","Surface Water","1","0.044","0.5","71","5.9","3","6","0.108","0.04","0.02","8.1","0.4","33.1","1.5","0.75","2","20.5","0.19","0.46","0.61","0.03","4.4","0.002","2"
"Southern","SM6","1992-12-09","1","Middle Water","1.1","0.116","0.9","79","6.7","1","2","0.041","0.008","0.036","8.1","0.3","33","1.5","1.15","0.5","20.1","0.17","0.58","0.63","0.09","5.6","0.005","0.5"
"Southern","SM6","1992-12-09","1","Bottom Water","1.2","0.088","0.7","74","6.2","1","3","0.009","0.004","0.017","8.2","0.4","33","1.5","0.84","3.5","20","0.1","0.47","0.48","0.04","7.5","0.004","2.5"
"Southern","SM7","1992-02-25","1","Surface Water","0.9","0.108","0.3","86","7.1","1","1","0.078","0.055","0.012","8","0.5","31.6","1.6","0.94","5.5","15.4","0.24","0.13","0.26","0.2","4.6","0.003","1.5"
"Southern","SM7","1992-02-25","1","Middle Water","0.8","0.112","<0.2","87","7.1","1","1","0.079","0.074","0.013","8","1.1","31.7","1.6","0.94","6","15.3","0.27","0.15","0.3","0.17","4.7","0.003","1.5"
"Southern","SM7","1992-02-25","1","Bottom Water","0.8","0.069","0.5","88","7.3","11","11","0.07","0.053","0.006","8","0.8","31.8","1.6","1.06","8","15.3","0.19","0.1","0.22","0.14","5.9","0.002","1.5"
"Southern","SM7","1992-04-30","1","Surface Water","2.5","0.213","0.5","112","7.9","2","2","0.114","0.011","0.027","8.2","11","26.1","2","1.51","2","23.2","0.34","0.35","0.48","0.1","3.6","0.012","0.5"
